,pid,eid,probe_name,session_number,date,subject,lab
49,89606895-287e-4559-8536-9830b047af34,fc43390d-457e-463a-9fd4-b94a0a8b48f5,probe01,1,2021-06-25,NYU-47,angelakilab
58,0ece5c6a-7d1e-4365-893d-ac1cc04f1d7b,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,1,2020-02-27,CSHL045,churchlandlab
67,04690e35-ab38-41db-982c-50cbdf8d0dd1,3663d82b-f197-4e8b-b299-7b803a155b84,probe01,3,2020-02-17,CSHL052,churchlandlab
85,bf591043-03c2-48bb-9197-e17e85aaeb8f,28741f91-c837-4147-939e-918d38d849f2,probe00,3,2020-07-11,CSHL058,churchlandlab
104,f967a527-257f-404a-871d-b91575dca3b4,19e66dc9-bf9f-430b-9d6a-acfa85de6fb7,probe00,1,2021-12-08,UCLA006,churchlandlab_ucla
107,94e948c1-f7be-4868-893a-f7cd2df3313e,03d9a098-07bf-4765-88b7-85f8d8f620cc,probe00,1,2021-08-18,UCLA014,churchlandlab_ucla
108,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,1,2022-03-31,UCLA015,churchlandlab_ucla
109,eebcaf65-7fa4-4118-869d-a084e84530e2,111c1762-7908-47e0-9f40-2f2ee55b6505,probe01,1,2022-02-15,UCLA033,churchlandlab_ucla
110,2e720cee-05cc-440e-a24b-13794b1ac01d,32d27583-56aa-4510-bc03-669036edad20,probe00,1,2022-02-24,UCLA033,churchlandlab_ucla
111,a94a0023-d461-49fa-8cc6-032237039c27,8a3a0197-b40a-449f-be55-c00b23253bbf,probe01,1,2022-01-25,UCLA034,churchlandlab_ucla
112,f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1,8a3a0197-b40a-449f-be55-c00b23253bbf,probe00,1,2022-01-25,UCLA034,churchlandlab_ucla
113,6358854e-51d2-47de-a278-5cbfd155feb6,ebc9392c-1ecb-4b4b-a545-4e3d70d23611,probe00,1,2022-01-26,UCLA034,churchlandlab_ucla
114,c872ca65-8319-4901-856e-7dc507e2dd9c,19b44992-d527-4a12-8bda-aa11379cb08c,probe00,1,2022-01-27,UCLA034,churchlandlab_ucla
115,f083fcd5-e456-433d-8aa5-6ace0a7ac170,19b44992-d527-4a12-8bda-aa11379cb08c,probe01,1,2022-01-27,UCLA034,churchlandlab_ucla
116,501ab543-9d02-4085-956d-22b9b3eeb543,3537d970-f515-4786-853f-23de525e110f,probe00,1,2022-01-28,UCLA034,churchlandlab_ucla
117,54455bff-7afd-4a16-835f-f79b7c30bae9,6f36868f-5cc1-450c-82fa-6b9829ce0cfe,probe00,1,2022-02-18,UCLA035,churchlandlab_ucla
118,7c94d733-b913-4064-83f2-37422712204c,6f36868f-5cc1-450c-82fa-6b9829ce0cfe,probe01,1,2022-02-18,UCLA035,churchlandlab_ucla
119,6ad5a0a6-362a-4aec-8743-2e91469b0b62,f99ac31f-171b-4208-a55d-5644c0ad51c3,probe00,1,2022-02-24,UCLA035,churchlandlab_ucla
120,80f6ffdd-f692-450f-ab19-cd6d45bfd73e,e2b845a1-e313-4a08-bc61-a5f662ed295e,probe00,1,2022-03-09,UCLA036,churchlandlab_ucla
121,ac839451-05bc-493e-b167-558b2b195baa,e2b845a1-e313-4a08-bc61-a5f662ed295e,probe01,1,2022-03-09,UCLA036,churchlandlab_ucla
122,02cc03e4-8015-4050-bb42-6c832091febb,2bdf206a-820f-402f-920a-9e86cd5388a4,probe00,1,2022-02-02,UCLA037,churchlandlab_ucla
123,afe87fbb-3a17-461f-b333-e22903f1d70d,2bdf206a-820f-402f-920a-9e86cd5388a4,probe01,1,2022-02-02,UCLA037,churchlandlab_ucla
124,e05af01e-8721-4ec7-8d0f-dc022b3bebc3,fa8ad50d-76f2-45fa-a52f-08fe3d942345,probe00,1,2022-02-08,UCLA037,churchlandlab_ucla
125,5245b505-d0e7-4942-94d1-b33a084fab03,8d316998-28c3-4265-b029-e2ca82375b2f,probe00,1,2022-02-09,UCLA037,churchlandlab_ucla
126,29418b18-4db6-436f-a85e-b0f1d38d2e62,bda2faf5-9563-4940-a80f-ce444259e47b,probe00,1,2022-02-10,UCLA037,churchlandlab_ucla
148,10ef1dcd-093c-4839-8f38-90a25edefb49,8c552ddc-813e-4035-81cc-3971b57efe65,probe01,1,2020-11-23,KS042,cortexlab
149,b98f6b89-3de4-4295-be1c-59e465de1e32,8c552ddc-813e-4035-81cc-3971b57efe65,probe00,1,2020-11-23,KS042,cortexlab
152,0c42a3d2-beb7-4b7b-a9b5-1eea6c51e1f4,9468fa93-21ae-4984-955c-e8402e280c83,probe01,1,2020-12-06,KS043,cortexlab
