,pid,ml_e_m,ap_e_m,dv_e_m,ml_t_m,ap_t_m,dv_t_m
0,47be9ae4-290f-46ab-b047-952bc3a1a509,3817.782,6612.415,332.000,5060.862,6612.415,7915.576
1,6be21156-33b0-4f70-9a0f-65b3e3cd6d4a,2898.664,7339.864,332.000,3986.139,7339.864,4697.766
2,1e176f17-d00f-49bb-87ff-26d237b525f1,3382.908,7339.864,522.960,4470.383,7339.864,4888.727
3,701026df-e170-4ca7-88aa-eb0b95ef6ba1,3283.118,8552.279,332.000,2466.132,8552.279,5316.129
4,6506252f-1141-4e11-8816-4db01b71dda0,3274.819,7097.381,577.198,2184.520,7097.381,7228.712
5,d213e786-4b1c-477d-a710-766d69fa1ac1,3382.803,8794.762,522.847,4470.332,8794.762,4888.832
6,73ff4936-8cd3-4a75-a772-f563e67d249d,3951.920,5837.245,1795.164,5039.368,5837.245,6160.821
7,664600f8-a8b6-416c-adca-3ad7b423f771,3800.029,4672.551,1222.395,2814.029,4672.551,7237.623
8,7b05cccc-44f6-4491-a0ea-e38d6e95513d,3542.466,4001.843,2119.797,4651.772,4001.843,6573.206
9,99993a2b-588e-4c0c-bfec-e3dfb4f61534,3945.408,3350.436,1907.819,4899.477,3350.436,5738.015
10,298e2a70-9801-45f0-b91c-d6bb9718427e,4898.454,3944.811,1196.520,5985.929,3944.811,5562.286
11,9dff5593-e781-41a3-a6f9-20d06085e4f8,6241.206,4672.551,1007.706,4407.495,4672.551,7459.576
12,c4b5a9fa-10cb-4195-9c17-15b6a1f77f9a,3249.294,4187.391,1383.864,2442.195,4187.391,6307.681
13,f93bfce4-e814-4ae3-9cdf-59f4dcdedf51,3382.908,7339.767,1172.565,4555.777,7339.767,5881.153
14,511afaa5-fdc4-4166-b4c0-4629ec5e652e,8817.887,11565.179,3595.390,9285.229,11565.179,5471.578
15,decc8d40-cf74-4263-ae9d-a0cc68b47e86,4682.592,4243.356,980.588,3951.428,4243.356,5441.155
16,16ad5eef-3fa6-4c75-9296-29bf40c5cfaa,8494.777,11448.400,2947.706,9196.824,11448.400,5766.136
17,66f810a8-b18d-4b54-9f28-2964dfceccad,6579.126,5168.865,685.785,4664.706,5168.865,7421.629
18,7332e6cf-9847-4aca-b2e3-d864989dd0fb,6225.870,10415.228,1057.876,4422.194,10415.228,7404.065
19,789fd2ee-c755-46c5-9c6f-260092520216,2653.706,10734.433,1964.090,3741.181,10734.433,6329.857
20,b7c57ce1-a75b-410a-94b6-8abee5a92c4f,4904.861,9279.922,543.412,5992.309,9279.922,4909.070
21,43b9b189-5221-46a0-928a-e137bc326534,3885.008,9671.969,1448.271,2977.551,9671.969,6984.337
22,c410fda5-a6db-4697-a7e3-6ed65601844d,3864.525,9493.501,1384.542,4951.973,9493.501,5750.200
23,ce0dc660-f19e-46a3-94f9-646bebae6805,1611.059,9037.148,2793.130,1108.482,9037.148,5859.165
24,ef7e9f3e-a53a-4e00-8f6a-537667af2bea,1298.874,9336.663,3309.062,1986.240,9336.663,6068.554
25,4431f9fd-aaa8-4b10-905c-0c6869ea1088,2413.160,10249.467,2892.000,3500.635,10249.467,7257.766
26,5f7766ce-8e2e-410c-9195-6bf089fea4fd,2778.286,9845.975,2357.198,2090.679,9845.975,6552.034
27,7441d0df-ef9b-419b-ae4d-b9bd7c2f17cb,8827.130,11795.150,3553.582,8482.278,11795.150,5657.398
28,e9c04e7e-c075-4ee3-9750-dff255ec7e84,8098.034,11704.462,3118.215,8744.483,11704.462,5713.445
29,18be19f9-6ca5-4fc8-9220-ba43c3e75905,4351.080,8067.313,272.113,3257.115,8067.313,6945.994
30,1a60a6e1-da99-4d4e-a734-39b1d4544fad,3382.803,7339.573,437.537,4470.250,7339.573,4803.194
31,76f16631-cbf7-4883-9437-4e8d8c4f34a3,8560.113,11947.139,2144.994,7782.181,11947.139,6890.877
32,e7080659-8319-48a6-b6fd-2e8ce8eeec49,4898.559,8309.796,503.751,5988.562,8309.796,4879.668
33,7c11adc6-adbd-484f-8ae9-13946285e3f8,8835.954,10835.597,2198.328,8073.726,10835.597,6848.401
34,e4632651-5ba7-48a7-86db-5298b45a5bac,3854.441,10249.661,1130.305,4941.916,10249.661,5496.072
35,98bde8a6-6b6a-4e53-96b1-9078c3974a97,2100.239,3945.005,2428.497,3187.660,3945.005,6794.045
36,79fbd14b-bfad-4b28-90a9-3019bf72336f,2439.630,5400.388,1729.175,3527.051,5400.388,6094.723
37,f8249eab-d4c2-4fb0-a258-7f4b99fa19e4,2544.147,3944.811,1995.051,3631.595,3944.811,6360.708
38,7587e3bb-dd11-4853-b48b-feab0b56ae05,4894.357,10492.144,982.508,3862.865,10492.144,7275.263
39,450cea3b-9289-4708-9df2-a2518bdc4b59,4393.307,3945.005,1112.452,5480.646,3945.005,5477.673
40,afecbc7f-10e3-40af-b091-cca9e8df6108,1540.681,9522.211,2689.062,1182.604,9522.211,4873.555
41,9991277b-9e8e-4db8-b8a6-e2c0176ef9ad,4898.664,10678.565,1368.497,5995.980,10678.565,5773.774
42,aeb06797-fddf-4ad2-b0ef-dd1b0f54d034,6256.857,9037.245,906.802,4493.352,9037.245,7111.653
43,5e84c8e7-236f-4a64-a944-dc4a17c64f1d,4990.050,5655.286,722.056,3828.888,5655.286,7805.884
44,8fbfa285-d721-4a1a-8c18-f36652c17909,2861.374,7367.895,1072.226,3890.397,7367.895,5203.332
45,00a824c0-e060-495f-9ebc-79c82fef4c67,4442.782,8398.254,1041.605,5373.932,8398.254,4779.792
46,e070023a-2a5d-4398-ad66-f9ed5d517ad1,7545.723,10851.988,1580.362,6577.926,10851.988,7484.534
47,0393f34c-a2bd-4c01-99c9-f6b4ec6e786d,3721.458,7316.101,430.079,4888.373,7316.101,5114.765
48,f86e9571-63ff-4116-9c40-aa44d57d2da9,3379.756,7340.252,507.254,4582.041,7340.252,5333.936
49,fd555d39-b728-44aa-90d2-796b8bb58300,4695.197,4548.691,1250.983,3607.288,4548.691,7887.920
50,531423f6-d36d-472b-8234-c8f7b8293f79,3418.202,7104.656,1018.441,4487.108,7104.656,5309.662
51,ae2b9f1b-ebe3-4b56-8957-31982186e6ec,4346.143,4264.306,500.475,5535.868,4264.306,5276.732
52,e55266c7-eb05-47bb-b263-1cc08dc3c00c,8088.265,7310.572,536.746,6989.915,7310.572,4946.170
53,f2ee886d-5b9c-4d06-a9be-ee7ae8381114,3322.193,7341.707,585.672,4360.270,7341.707,4753.124
54,b46e219c-6a87-4a93-9924-1070841381e9,2937.214,6378.661,514.486,4104.755,6378.661,5201.682
55,5810514e-2a86-4a34-b7bd-1e4b0b601295,3466.836,6488.167,349.514,4753.972,6488.167,5516.835
56,1841cf1f-725d-499e-ab8e-7f6fc8c308b6,3261.899,8552.376,710.757,2207.971,8552.376,7140.383
57,220bca21-4cf8-43f1-a213-71645899c571,2868.202,7787.876,714.147,3949.179,7787.876,5053.828
