region,R2_test,corrected_R2_test,fisher_p_value,significant
ACAd,0.03742456866593315,0.028903684954710573,0.016465482475726,True
ACAv,0.012078222874136886,0.0034729705025480398,0.4885786132564004,False
ACB,0.0018246611058585834,0.008099036165795364,0.15402360334925816,False
AId,0.0600927035795021,0.044333602615302115,0.0018078141198348467,True
AIp,0.04646979623172207,0.03607568937188537,0.018729435449146636,True
AIv,0.0264388095545189,0.026520345818400272,0.032679544982963604,True
AM,0.01109968930959346,0.019614106180649175,0.045144153254949713,True
ANcr1,0.03129538142762189,0.0022493117667907406,0.47894269762236774,False
ANcr2,-0.002384506644317508,-0.0034405880760750964,0.54,False
AON,0.0166420697587951,0.013112602897352891,0.35113625745840465,False
APN,0.012016112660047252,0.003638133747999322,0.4204580129666485,False
AUDd,0.017631558165152984,0.028182343314055593,0.03,True
AUDp,0.020163680706602967,0.01730015226116258,0.33894049300125,False
AUDv,0.026025772202471455,0.017453510427256635,0.1182067250541817,False
AV,0.012828800131994689,0.016277254715569386,0.09698954484461336,False
BLA,-0.002366645428741819,-0.015510318768115483,0.8889809779246373,False
BMA,0.055041759427856364,0.017719259337481568,0.402969651527258,False
BST,-0.0010150155311567332,0.006533597942198525,0.6521119987617052,False
CA1,0.0326863673197391,0.024664429373084922,0.012685921632601477,True
CA3,0.042410741170098507,0.018081557658485025,0.15002466332640216,False
CEA,0.05126936560433295,0.014717326739601109,0.5314876113833382,False
CENT2,-0.16095043207509557,-0.1387914674010819,0.5600831803943812,False
CENT3,0.07374967359567378,0.05062749164928068,0.10557101109876421,False
CLA,0.020105589054211215,0.018120049278298828,0.175,False
CM,0.07839732004686582,0.08327127111041914,0.005000000000000003,True
COAp,0.0603458385394482,0.012904683222805193,0.15005699042071557,False
COPY,0.03222770904795582,0.03860925381475297,0.029624629476130364,True
CP,0.0539105710339718,0.0426045493527027,1.5107878829976215e-08,True
CS,0.03353469329392544,0.02036050049073826,0.19356718988234453,False
CUL4 5,0.04725934460756602,0.0146205460057203,0.39901741963615495,False
CUN,0.01789267835213958,0.031208136081084664,0.22500000000000003,False
DCO,0.06507143344498842,0.06131843379823029,0.0423520370638954,True
DG,0.0061129047962249486,0.004835825429729282,0.5941391250067136,False
DMH,-0.003482036632848906,0.004467145376110353,0.2999999999999999,False
DN,0.09887479676185365,0.10395898034178375,0.015,True
DP,0.00941066083675882,0.013635803818937461,0.3232681366239381,False
DR,0.10772342070146976,0.0654987786996629,0.10499999999999998,False
DTN,-0.024953237676130224,-0.05293054983923345,0.98,False
ECT,-0.012946018790869703,-0.005256370219726265,0.9898712317704194,False
ENTl,-0.0015131741138521098,0.0010777854770044378,0.6978833637129492,False
ENTm,0.020987790377155778,0.026981232960780137,0.0427527967273549,True
EPd,-0.0018325490724145441,0.005011150620984093,0.20452846760659069,False
EPv,0.017605935116584707,0.021900956700425044,0.14403303098116205,False
Eth,0.005065035925359244,0.011680191819529982,0.0530211371792875,False
FRP,-0.012302261283629174,-0.01474086512200431,0.9540199488730237,False
GPe,0.03642695391732244,0.014956304687298323,0.0935234491459426,False
GPi,0.11734055476483163,0.11327207608540422,0.005000000000000003,True
GRN,0.07719542275973885,0.0546591125351567,0.002091189311509574,True
GU,-0.014968194518411448,-0.003353412420091656,0.6299999999999999,False
HATA,-0.008927477944550377,-0.02880977452546666,0.85,False
IC,0.025816844262257027,0.015041990750064982,0.13133909203339142,False
ILA,0.05216933241870993,0.04216343896776981,0.008941011017933523,True
IP,0.03254347675223882,0.01829353309836767,0.4582291346571602,False
IRN,0.01843788525537527,0.014365661709474984,0.4192836666367061,False
LA,-0.00724367433261035,-0.015281063184822065,0.6299999999999999,False
LD,0.00895821567205799,0.014525198758990776,0.1317945148480948,False
LDT,-0.012775857790327083,-0.002770332683082754,0.7050000000000001,False
LGd,0.005169196328378703,0.008356225788571156,0.03876640601086616,True
LGv,0.005555754334149921,0.012002961929238649,0.1920813368737982,False
LHA,-0.00367148185544941,0.001408190423637992,0.5117299058325568,False
LP,0.0058131571193177425,0.010535858387610456,0.008247230569326287,True
LSc,0.012583670684146975,0.01968651453466453,0.28,False
LSr,-0.0041547582057902205,0.00047923766040340474,0.9558266692444641,False
LSv,-0.005833582907168441,0.001795829930157129,0.2268848059044122,False
MD,0.028894035755799206,0.02906887185152357,0.0035067421456501263,True
