coronal_index,sagittal_index,index,ap_um,ml_um,dv_um,depth_um,theta,phi
1807,5039,1,-5250,986,-858,5950,17,0
1807,5019,1,-5250,464,-931,5873,17,0
1807,4968,1,-5250,-804,-836,5655,10,0
1807,4923,1,-5250,-1913,-1455,4543,10,0
1825,5037,1,-4750,920,-788,6073,17,0
1825,5018,1,-4750,449,-694,6122,17,0
1825,4966,1,-4750,-846,-788,5510,10,0
1825,4948,1,-4750,-1300,-527,5485,10,0
1825,4928,1,-4750,-1800,-527,4975,10,0
1825,4908,1,-4750,-2300,-527,3939,10,0
1825,4887,1,-4750,-2829,-694,4398,10,0
1825,4864,1,-4750,-3396,-1074,3867,10,0
1844,5040,1,-4250,1000,-242,6545,17,0
1844,5014,1,-4250,347,-741,5853,17,0
1844,4968,1,-4250,-800,-242,5839,10,0
1844,4948,1,-4250,-1300,-242,5872,10,0
1844,4908,1,-4250,-2304,-265,5461,10,0
1844,4886,1,-4250,-2846,-503,5124,10,0
1844,4864,1,-4250,-3405,-836,4543,10,0
1844,4840,1,-4250,-3997,-1359,3552,10,0
1862,5040,1,-3750,1000,-51,6445,17,0
1862,5020,1,-3750,493,-74,6322,17,0
1862,4968,1,-3750,-800,-51,5534,10,0
1862,4948,1,-3750,-1300,-51,5050,10,0
1862,4928,1,-3750,-1804,-75,5945,10,0
1862,4863,1,-3750,-3413,-693,4930,10,0
1862,4840,1,-3750,-3997,-1169,3915,10,0
1880,5040,1,-3250,1000,44,5350,17,0
1880,5020,1,-3250,500,44,5749,17,0
1880,4968,1,-3250,-800,44,5292,10,0
1880,4948,1,-3250,-1300,44,5872,10,0
1880,4927,1,-3250,-1813,-27,6428,10,0
1880,4906,1,-3250,-2338,-170,6198,10,0
1880,4885,1,-3250,-2871,-360,5897,10,0
1880,4863,1,-3250,-3413,-598,5268,10,0
1880,4840,1,-3250,-3997,-1074,4128,10,0
1899,5040,1,-2750,1000,92,6196,17,0
1899,5020,1,-2750,500,92,5848,17,0
1899,4968,1,-2750,-800,92,5872,10,0
1899,4948,1,-2750,-1304,68,6331,10,0
1899,4927,1,-2750,-1821,-27,6622,10,0
1899,4906,1,-2750,-2346,-169,6429,10,0
1899,4885,1,-2750,-2880,-360,6090,10,0
1899,4863,1,-2750,-3430,-646,5365,10,0
1899,4840,1,-2750,-3997,-1026,4128,10,0
1917,5040,1,-2250,1000,92,6694,17,0
1917,5020,1,-2250,493,69,6222,17,0
1917,4968,1,-2250,-800,92,6210,10,0
1917,4948,1,-2250,-1304,68,6621,10,0
1917,4927,1,-2250,-1821,-27,6864,10,0
1917,4906,1,-2250,-2346,-169,6670,10,0
1917,4885,1,-2250,-2880,-360,6186,10,0
1917,4863,1,-2250,-3430,-646,5365,10,0
1917,4840,1,-2250,-4006,-1074,4079,10,0
1936,5040,1,-1750,993,21,6820,17,0
1936,5020,1,-1750,493,21,6272,17,0
1936,4968,1,-1750,-800,44,6452,10,0
1936,4947,1,-1750,-1313,-27,6718,10,0
1936,4927,1,-1750,-1821,-74,6912,10,0
1936,4906,1,-1750,-2346,-217,6719,10,0
1936,4884,1,-1750,-2888,-455,6090,10,0
1936,4863,1,-1750,-3430,-694,5123,10,0
1936,4840,1,-1750,-4006,-1122,3866,10,0
1954,5039,1,-1250,986,-49,6747,17,0
1954,5020,1,-1250,493,-27,6421,17,0
1954,4968,1,-1250,-804,-27,6573,10,0
1954,4947,1,-1250,-1313,-75,6815,10,0
1954,4927,1,-1250,-1829,-170,6815,10,0
1954,4906,1,-1250,-2355,-313,6573,10,0
1954,4884,1,-1250,-2888,-503,5897,10,0
1954,4862,1,-1250,-3438,-788,4882,10,0
1954,4839,1,-1250,-4022,-1264,3625,10,0
1972,5039,1,-750,978,-170,6643,17,0
1972,5019,1,-750,478,-170,6421,17,0
1972,4967,1,-750,-813,-170,6573,10,0
1972,4947,1,-750,-1313,-170,6767,10,0
1972,4927,1,-750,-1821,-217,6767,10,0
1972,4906,1,-750,-2355,-408,6331,10,0
1972,4884,1,-750,-2896,-645,5462,10,0
1972,4862,1,-750,-3447,-931,4418,10,0
1991,5040,1,-250,993,-265,6522,17,0
