,eid,pid,clu,ml,ap,dv
0,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,0,4794.0,9792.0,4411.000000000001
1,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,1,4794.0,9792.0,4411.000000000001
2,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,2,4791.999999999999,9790.0,4391.0
3,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,3,4791.0,9789.0,4371.0
4,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,4,4787.0,9785.0,4331.0
5,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,5,4786.0,9784.0,4312.0
6,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,6,4786.0,9784.0,4312.0
7,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,7,4784.0,9782.0,4292.0
8,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,8,4783.0,9781.0,4272.0
9,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,9,4775.999999999999,9774.0,4192.000000000001
10,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,10,4775.999999999999,9774.0,4192.000000000001
11,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,11,4773.0,9773.000000000002,4173.0
12,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,12,4770.999999999999,9772.0,4153.000000000001
13,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,13,4770.999999999999,9772.0,4153.000000000001
14,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,14,4768.0,9770.0,4133.000000000001
15,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,15,4768.0,9770.0,4133.000000000001
16,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,16,4766.0,9769.000000000002,4113.000000000001
17,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,17,4760.0,9767.0,4074.000000000001
18,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,18,4758.0,9765.0,4054.0000000000005
19,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,19,4758.0,9765.0,4054.0000000000005
20,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,20,4754.999999999999,9763.999999999998,4034.0000000000005
21,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,21,4753.0,9763.0,4014.000000000001
22,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,22,4749.999999999999,9762.0,3994.0000000000005
23,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,23,4748.0,9760.0,3975.000000000001
24,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,24,4745.0,9759.000000000002,3955.0000000000005
25,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,25,4742.999999999999,9758.0,3935.0
26,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,26,4740.0,9757.0,3915.0000000000005
27,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,27,4740.0,9757.0,3915.0000000000005
28,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,28,4735.0,9754.0,3876.0
29,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,29,4733.0,9753.0,3856.0
30,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,30,4730.0,9752.000000000002,3836.0000000000005
31,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,31,4730.0,9752.000000000002,3836.0000000000005
32,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,32,4728.0,9751.0,3816.0000000000005
33,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,33,4724.999999999999,9749.0,3796.0
34,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,34,4724.999999999999,9749.0,3796.0
35,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,35,4722.0,9748.0,3777.0000000000005
36,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,36,4722.0,9748.0,3777.0000000000005
37,"('948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'probe00')",b939cc85-6028-404a-995d-28c8405a07db,37,4719.0,9746.0,3757.0
