acronym,id,name,structure_id_path,rgb_triplet
root,997,root,[997],"[255, 255, 255]"
grey,8,Basic cell groups and regions,"[997, 8]","[191, 218, 227]"
CH,567,Cerebrum,"[997, 8, 567]","[176, 240, 255]"
CTX,688,Cerebral cortex,"[997, 8, 567, 688]","[176, 255, 184]"
CTXpl,695,Cortical plate,"[997, 8, 567, 688, 695]","[112, 255, 112]"
Isocortex,315,Isocortex,"[997, 8, 567, 688, 695, 315]","[112, 255, 113]"
FRP,184,"Frontal pole, cerebral cortex","[997, 8, 567, 688, 695, 315, 184]","[38, 143, 69]"
FRP1,68,"Frontal pole, layer 1","[997, 8, 567, 688, 695, 315, 184, 68]","[38, 143, 69]"
FRP2/3,667,"Frontal pole, layer 2/3","[997, 8, 567, 688, 695, 315, 184, 667]","[38, 143, 69]"
FRP5,526157192,"Frontal pole, layer 5","[997, 8, 567, 688, 695, 315, 184, 526157192]","[38, 143, 69]"
FRP6a,526157196,"Frontal pole, layer 6a","[997, 8, 567, 688, 695, 315, 184, 526157196]","[38, 143, 69]"
FRP6b,526322264,"Frontal pole, layer 6b","[997, 8, 567, 688, 695, 315, 184, 526322264]","[38, 143, 69]"
MO,500,Somatomotor areas,"[997, 8, 567, 688, 695, 315, 500]","[31, 157, 90]"
MOp,985,Primary motor area,"[997, 8, 567, 688, 695, 315, 500, 985]","[31, 157, 90]"
MOp1,320,"Primary motor area, Layer 1","[997, 8, 567, 688, 695, 315, 500, 985, 320]","[31, 157, 90]"
MOp2/3,943,"Primary motor area, Layer 2/3","[997, 8, 567, 688, 695, 315, 500, 985, 943]","[31, 157, 90]"
MOp5,648,"Primary motor area, Layer 5","[997, 8, 567, 688, 695, 315, 500, 985, 648]","[31, 157, 90]"
MOp6a,844,"Primary motor area, Layer 6a","[997, 8, 567, 688, 695, 315, 500, 985, 844]","[31, 157, 90]"
MOp6b,882,"Primary motor area, Layer 6b","[997, 8, 567, 688, 695, 315, 500, 985, 882]","[31, 157, 90]"
MOs,993,Secondary motor area,"[997, 8, 567, 688, 695, 315, 500, 993]","[31, 157, 90]"
MOs1,656,"Secondary motor area, layer 1","[997, 8, 567, 688, 695, 315, 500, 993, 656]","[31, 157, 90]"
MOs2/3,962,"Secondary motor area, layer 2/3","[997, 8, 567, 688, 695, 315, 500, 993, 962]","[31, 157, 90]"
MOs5,767,"Secondary motor area, layer 5","[997, 8, 567, 688, 695, 315, 500, 993, 767]","[31, 157, 90]"
MOs6a,1021,"Secondary motor area, layer 6a","[997, 8, 567, 688, 695, 315, 500, 993, 1021]","[31, 157, 90]"
MOs6b,1085,"Secondary motor area, layer 6b","[997, 8, 567, 688, 695, 315, 500, 993, 1085]","[31, 157, 90]"
SS,453,Somatosensory areas,"[997, 8, 567, 688, 695, 315, 453]","[24, 128, 100]"
SSp,322,Primary somatosensory area,"[997, 8, 567, 688, 695, 315, 453, 322]","[24, 128, 100]"
SSp-n,353,"Primary somatosensory area, nose","[997, 8, 567, 688, 695, 315, 453, 322, 353]","[24, 128, 100]"
SSp-n1,558,"Primary somatosensory area, nose, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 353, 558]","[24, 128, 100]"
