,pid,lab,ml,ap,dv,phi,theta,depth
0,ef03e569-2b50-4534-89f4-fb1e56e81461,wittenlab,4295.000,7693.000,3582.000,159.323,12.224,3255.933
1,78cb9d69-a49a-480f-b182-7f7985a5b1dd,churchlandlab,6782.000,7761.000,4585.000,-9.038,18.314,4329.250
2,7f3dddf8-637f-47bb-a7b7-e303277b2107,churchlandlab,4334.000,8038.000,4325.000,-155.686,11.085,4024.762
3,26d549fc-fa1c-4bb7-b30c-5f62bce52004,mainenlab,4570.000,5527.000,5088.000,165.723,10.955,4317.071
4,e8f9fba4-d151-4b00-bee7-447f0f3e752c,mainenlab,2986.000,7105.000,7194.000,12.043,11.066,6998.921
5,e17db2b6-b778-4e2a-845c-c4d040b0c875,mainenlab,5718.000,10622.000,5225.000,157.179,14.345,4129.053
6,98bde8a6-6b6a-4e53-96b1-9078c3974a97,angelakilab,2955.000,4699.000,6648.000,154.159,15.981,4158.521
7,b2746c16-7152-45a3-a7f0-477985638638,hoferlab,4090.000,8014.000,4304.000,140.165,13.774,3942.164
8,362823e7-5514-41d3-a31d-4b73f91ad3d0,zadorlab,5029.000,9412.000,6784.000,23.075,13.972,6733.562
9,688606f8-9733-46f2-8331-b2dd84c5d385,mainenlab,4939.000,4265.000,6721.000,41.301,19.791,5548.767
10,c85d4ad5-6df3-461a-8a55-6531afd4c7e8,angelakilab,2077.000,9726.000,5640.000,40.374,2.617,4269.490
11,44f5caad-c703-4279-866b-0303e57d2a7f,churchlandlab,3927.000,10031.000,5250.000,147.044,17.070,4576.599
12,ca073754-be17-43b7-a38a-0c1e5563ff32,mainenlab,4041.000,6841.000,6562.000,-5.767,7.569,6367.244
13,b25799a5-09e8-4656-9c1b-44bc9cbb5279,wittenlab,4214.000,7542.000,4488.000,123.213,7.319,4146.494
14,dec6ad00-01c8-4bfd-bcdc-b37c5e0cdb0e,churchlandlab,4952.000,6937.000,4007.000,152.338,17.341,3700.199
15,1fa9efcf-def3-40b1-86ae-ca411da98ef2,zadorlab,1571.000,8620.000,5623.000,35.908,4.941,4363.797
16,516b2043-0176-49a3-a986-132b3d02f28a,churchlandlab,5145.000,5090.000,6620.000,29.783,17.829,5850.751
17,7332e6cf-9847-4aca-b2e3-d864989dd0fb,angelakilab,5187.000,11616.000,6907.000,30.356,9.186,6085.519
18,71a92c54-69f0-488b-ae2a-cb6c1524233c,churchlandlab,1477.000,9404.000,5163.000,18.227,12.320,4184.363
19,789fd2ee-c755-46c5-9c6f-260092520216,angelakilab,3748.000,11436.000,5748.000,-170.887,14.790,4057.070
20,fe41986d-4966-4a77-af7e-e7f71c25aec5,angelakilab,3771.000,9656.000,6376.000,26.226,11.847,6131.931
21,a9c9df46-85f3-46ad-848d-c6b8da4ae67c,zadorlab,2513.000,9733.000,4820.000,66.460,10.129,4083.702
22,16ad5eef-3fa6-4c75-9296-29bf40c5cfaa,angelakilab,9239.000,11983.000,4672.000,154.351,13.158,2872.399
